DE_comparison,gene_symbol,gene_type,rank,p-value,cover_genes,chr,median_copy_number_cloneA,median_copy_number_cloneB,description,covered_events,mut,total_events,node_degree,no.of.cases,connected.drivers,case,ens_gene_id,median_copy_number_cloneC
Bmet_Apri,ACTB,cis,1,0,"MYH13,POU2F2,CTNNA1,COL11A1,CTNNA2,ACTN2,ITGA8,COL5A3,MEF2C,MMP2,MYH7,SMARCB1,MMP9,EEF1A2,ITGB8,CAV1,COL1A1,MYH1,COL12A1,CDH9,FN1,BCL11A,MMP19,DEK,MYH2,MMP24,RHOJ,SMARCA4,FLNC,ARPC1B,JUND,COL5A1,PPARG,MYH8,MYH11,ITGA7,RAC1,RDX,MMP13,ITGA11,PCDH10,TPM1,CDH11,CDH13,COL6A2,ACTA1,COL8A1,PCDH15,CDH8,CDH12,ACTC1,COL6A3,COL1A2,CFL2,CKB,DCHS1,COPS6,COL3A1,ACTBL2,PCDH7,COL8A2,CDH5,POLR1D,COL4A1,COL14A1,MMP23B,PAX5,PPIA,COL13A1,MYH6,TPM2,ITGBL1,PFDN6,COL5A2,COL15A1,POTEJ,PCDHGC5,PCDHGC4,PCDHGA12,PCDHGA7,PCDHGA3,MYH4",7,2,3,actin beta,83,1,897,136,1,"1,3,8,11,12,29,44",cloneB,ENSG00000075624,
Bmet_Apri,GNAI1,cis,2,0,"FYN,ADRB1,DRD4,CACNA1S,OPRK1,GNAO1,RGS17,HCK,FLT1,CXCL12,PDGFRB,GNAI2,POMC,RGS4,KCNJ5,GALR3,ADCY4,APLNR,EDNRB,ACKR3,KCNJ6,CXCR5,PTH1R,KCNJ3,PRKCB,GNG4,CHRM1,S1PR1,PTGER4,GNB2,ADCY5,GNG5,S1PR5,GALR2,NPW,ADRA2C,LPAR5,MAPK11,ADRB3,TAS2R14",7,2,3,G protein subunit alpha i1,41,1,897,71,1,"2,3,23",cloneB,ENSG00000127955,
Bmet_Apri,RAC1,cis,3,0,"NOX1,HGF,LCP2,PREX2,CYBA,CAMK2B,NGFR,NCF4,EPHB6,DNM1,ACTA2,RRAS,TLR2,BMPR1B,SLIT2,DOCK11,DOK2,ARHGAP27,ABR,ACTG2,CDH2,MYD88,ABLIM3,BDNF,NOXO1,ACTN3",7,2,3,Rac family small GTPase 1,26,1,897,92,1,"1,2,3,4,10,23,29,30,32,38",cloneB,ENSG00000136238,
Bmet_Apri,CAMK2B,cis,4,0,"MYLK,CACNB1,CAMK2A,CACNG4,FGF14,CACNG7,SCN1B,PDE4D,RIPK3,SCN7A,CREB5,DLG2,SLC25A4,GRIA4,CACNA2D1,NRG1,IFNGR2,CACNG2,SCN5A,MAPT,ATP2A1",7,2,3,calcium/calmodulin dependent protein kinase II beta,21,1,897,50,1,"3,4,7,29,44",cloneB,ENSG00000058404,
Bmet_Apri,GLI3,cis,5,0.002,"WNT16,FUZ,WNT11,PSME1,PSME2,WNT6,CCND2,TWIST1,BMP4,BMP2,CDC73,WNT10A,SHH,EVC2,PSMB8",7,2,3,GLI family zinc finger 3,15,1,897,21,1,"5,14,41",cloneB,ENSG00000106571,
Bmet_Apri,HOXA6,cis,6,0.005,"HOXA2,HOXA3,HOXA5,HOXB8,HOXB5,TBX4,ALX3,PBX2,HOXA10,HOXB7",7,2,3,homeobox A6,11,1,897,16,1,"6,17",cloneB,ENSG00000106006,
Bmet_Apri,CREB5,cis,7,0.005,"PCK2,PPARGC1A,PCK1,CAMK1,PRKG2,G6PC2,CAMK4,VEGFD,AQP2,PRKD1,PRKG1",7,2,3,cAMP responsive element binding protein 5,11,1,897,29,1,"4,7",cloneB,ENSG00000146592,
Bmet_Apri,ITGB8,cis,8,0.015,"TNC,TGFB1,COMP,THBS4,TGFB3,TNXB,CAV3,RELN,COL6A6",7,2,3,integrin subunit beta 8,9,1,897,54,1,"1,8,12,29,44",cloneB,ENSG00000105855,
Bmet_Apri,COG5,cis,9,0.015,"COPZ2,ANK1,SPTB,BET1,SPTA1,RAB33B,DYNC1H1,VPS52",7,2,3,component of oligomeric golgi complex 5,9,1,897,12,1,9,cloneB,ENSG00000164597,
Bmet_Apri,HGF,cis,10,0.021,"FGFR1,TEK,TNS4,FGF7,SH3KBP1,RET,MUC20,CSF1R",7,2,3,hepatocyte growth factor,8,1,897,21,1,"3,10",cloneB,ENSG00000019991,
